LineagesOfInterest,BatchSource,StartDate,EndDate,weights
Delta,Asgard,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,72
Delta,Gilead,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,8
Delta,Hogwarts,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,2531
Delta,Narnia,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,27
Delta,Pandora,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,7
Delta,Wakanda,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,10
Gamma,Hogwarts,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,4
NULL,Asgard,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,6
NULL,Gilead,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,10
NULL,Hogwarts,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,604
NULL,Narnia,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,1
NULL,Pandora,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,6
NULL,Wakanda,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,5
Alpha,Asgard,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,2
Alpha,Gilead,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,5
Alpha,Hogwarts,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,548
Alpha,Narnia,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,2
Alpha,Pandora,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,1
Alpha,Wakanda,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,3
Delta,Agrabah,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,5
Delta,Asgard,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,63
Delta,Gilead,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,28
Delta,Hogwarts,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,7015
Delta,Narnia,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,48
Delta,Pandora,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,15
Delta,Wakanda,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,13
Gamma,Hogwarts,2021-07-12 00.00.00.000,2021-07-18 00.00.00.000,4
NULL,Agrabah,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,1
NULL,Asgard,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,1
NULL,Gilead,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,10
NULL,Hogwarts,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,336
NULL,Narnia,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,4
NULL,Pandora,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,2
NULL,Wakanda,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,4
Alpha,Asgard,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,1
Alpha,Gilead,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,3
Alpha,Hogwarts,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,243
Alpha,Narnia,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,1
Alpha,Pandora,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,3
Alpha,Wakanda,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,1
Beta,Hogwarts,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,3
Delta,Agrabah,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,5
Delta,Asgard,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,28
Delta,Gilead,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,16
Delta,Hogwarts,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,5999
Delta,Narnia,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,37
Delta,Pandora,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,9
Delta,Wakanda,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,5
Eta,Hogwarts,2021-07-19 00.00.00.000,2021-07-25 00.00.00.000,1
NULL,Asgard,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,4
NULL,Gilead,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,5
NULL,Hogwarts,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,480
NULL,Narnia,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,6
NULL,Pandora,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,1
NULL,Wakanda,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,5
Alpha,Hogwarts,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,76
Delta,Agrabah,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,2
Delta,Asgard,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,104
Delta,Gilead,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,21
Delta,Hogwarts,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,6527
Delta,Narnia,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,50
Delta,Pandora,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,3
Delta,Wakanda,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,17
Gamma,Hogwarts,2021-07-26 00.00.00.000,2021-08-01 00.00.00.000,1
NULL,Asgard,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,30
NULL,Gilead,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,12
NULL,Hogwarts,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,594
NULL,Narnia,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,8
NULL,Pandora,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,2
NULL,Wakanda,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,7
Alpha,Hogwarts,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,69
Delta,Agrabah,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,9
Delta,Asgard,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,156
Delta,Gilead,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,25
Delta,Hogwarts,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,7306
Delta,Narnia,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,62
Delta,Pandora,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,17
Delta,Wakanda,2021-08-02 00.00.00.000,2021-08-08 00.00.00.000,23
NULL,Agrabah,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,3
NULL,Asgard,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,33
NULL,Gilead,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,14
NULL,Hogwarts,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,788
NULL,Narnia,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,4
NULL,Pandora,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,4
NULL,Wakanda,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,11
Alpha,Hogwarts,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,37
Alpha,Pandora,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,1
Delta,Agrabah,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,29
Delta,Asgard,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,42
Delta,Gilead,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,35
Delta,Hogwarts,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,7458
Delta,Narnia,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,84
Delta,Pandora,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,11
Delta,Wakanda,2021-08-09 00.00.00.000,2021-08-15 00.00.00.000,30
NULL,Agrabah,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,3
NULL,Asgard,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,27
NULL,Gilead,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,15
NULL,Hogwarts,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,460
NULL,Narnia,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,4
NULL,Pandora,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,15
NULL,Wakanda,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,7
Alpha,Agrabah,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,1
Alpha,Gilead,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,3
Alpha,Hogwarts,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,11
Delta,Agrabah,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,33
Delta,Asgard,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,82
Delta,Gilead,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,43
Delta,Hogwarts,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,6529
Delta,Narnia,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,55
Delta,Pandora,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,11
Delta,Wakanda,2021-08-16 00.00.00.000,2021-08-22 00.00.00.000,20
NULL,Agrabah,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,7
NULL,Asgard,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,18
NULL,Gilead,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,16
NULL,Hogwarts,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,555
NULL,Narnia,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,4
NULL,Pandora,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,5
NULL,Wakanda,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,5
Alpha,Gilead,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,3
Alpha,Hogwarts,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,2
Delta,Agrabah,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,16
Delta,Asgard,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,93
Delta,Gilead,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,50
Delta,Hogwarts,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,6765
Delta,Narnia,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,70
Delta,Pandora,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,36
Delta,Wakanda,2021-08-23 00.00.00.000,2021-08-29 00.00.00.000,21
NULL,Agrabah,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,2
NULL,Asgard,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,14
NULL,Gilead,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,8
NULL,Hogwarts,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,372
NULL,Narnia,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,2
NULL,Pandora,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,2
NULL,Wakanda,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,7
Alpha,Gilead,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,1
Alpha,Hogwarts,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,3
Delta,Agrabah,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,17
Delta,Asgard,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,72
Delta,Gilead,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,25
Delta,Hogwarts,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,4543
Delta,Narnia,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,54
Delta,Neverland,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,16
Delta,Pandora,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,17
Delta,Wakanda,2021-08-30 00.00.00.000,2021-09-05 00.00.00.000,24
NULL,Agrabah,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,2
NULL,Asgard,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,16
NULL,Gilead,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,13
NULL,Hogwarts,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,358
NULL,Narnia,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,6
NULL,Pandora,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,3
NULL,Wakanda,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,10
Alpha,Gilead,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,3
Alpha,Hogwarts,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,2
Delta,Agrabah,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,9
Delta,Asgard,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,72
Delta,Gilead,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,26
Delta,Hogwarts,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,3424
Delta,Narnia,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,49
Delta,Neverland,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,18
Delta,Pandora,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,12
Delta,Wakanda,2021-09-06 00.00.00.000,2021-09-12 00.00.00.000,20
NULL,Agrabah,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,1
NULL,Asgard,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,10
NULL,Gilead,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,3
NULL,Hogwarts,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,235
NULL,Narnia,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,11
NULL,Pandora,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,4
NULL,Wakanda,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,9
Alpha,Hogwarts,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,1
Delta,Agrabah,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,17
Delta,Asgard,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,38
Delta,Gilead,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,11
Delta,Hogwarts,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,2934
Delta,Narnia,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,35
Delta,Neverland,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,12
Delta,Pandora,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,9
Delta,Wakanda,2021-09-13 00.00.00.000,2021-09-19 00.00.00.000,23
NULL,Asgard,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,18
NULL,Gilead,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,11
NULL,Hogwarts,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,298
NULL,Narnia,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,5
NULL,Pandora,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,7
NULL,Wakanda,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,6
Delta,Agrabah,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,2
Delta,Asgard,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,51
Delta,Gilead,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,31
Delta,Hogwarts,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,2531
Delta,Narnia,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,16
Delta,Neverland,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,29
Delta,Pandora,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,12
Delta,Wakanda,2021-09-20 00.00.00.000,2021-09-26 00.00.00.000,19
NULL,Asgard,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,11
NULL,Gilead,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,7
NULL,Hogwarts,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,151
NULL,Narnia,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,3
NULL,Pandora,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,3
NULL,Wakanda,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,5
Delta,Agrabah,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,5
Delta,Asgard,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,74
Delta,Gilead,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,17
Delta,Hogwarts,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,2983
Delta,Narnia,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,22
Delta,Neverland,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,46
Delta,Pandora,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,11
Delta,Wakanda,2021-09-27 00.00.00.000,2021-10-03 00.00.00.000,21
NULL,Agrabah,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,2
NULL,Asgard,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,19
NULL,Gilead,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,6
NULL,Hogwarts,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,407
NULL,Narnia,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,10
NULL,Pandora,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,5
NULL,Wakanda,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,9
Delta,Agrabah,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,13
Delta,Asgard,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,60
Delta,Gilead,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,11
Delta,Hogwarts,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,4355
Delta,Narnia,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,25
Delta,Neverland,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,27
Delta,Pandora,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,13
Delta,Wakanda,2021-10-04 00.00.00.000,2021-10-10 00.00.00.000,22
NULL,Asgard,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,11
NULL,Gilead,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,14
NULL,Hogwarts,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,629
NULL,Narnia,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,9
NULL,Pandora,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,5
NULL,Wakanda,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,7
Alpha,Hogwarts,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,2
Delta,Agrabah,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,13
Delta,Asgard,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,51
Delta,Gilead,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,13
Delta,Hogwarts,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,4971
Delta,Narnia,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,34
Delta,Neverland,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,67
Delta,Pandora,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,22
Delta,Wakanda,2021-10-11 00.00.00.000,2021-10-17 00.00.00.000,35
NULL,Agrabah,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,4
NULL,Asgard,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,20
NULL,Gilead,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,6
NULL,Hogwarts,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,524
NULL,Narnia,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,11
NULL,Pandora,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,4
NULL,Wakanda,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,15
Delta,Agrabah,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,16
Delta,Asgard,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,106
Delta,Gilead,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,9
Delta,Hogwarts,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,8166
Delta,Narnia,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,71
Delta,Neverland,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,31
Delta,Pandora,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,29
Delta,Wakanda,2021-10-18 00.00.00.000,2021-10-24 00.00.00.000,45
NULL,Agrabah,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,12
NULL,Asgard,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,37
NULL,Gilead,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,3
NULL,Hogwarts,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,511
NULL,Narnia,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,8
NULL,Pandora,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,6
NULL,Wakanda,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,29
Alpha,Agrabah,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,2
Delta,Agrabah,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,39
Delta,Asgard,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,124
Delta,Gilead,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,36
Delta,Hogwarts,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,9786
Delta,Narnia,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,67
Delta,Neverland,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,37
Delta,Pandora,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,38
Delta,Wakanda,2021-10-25 00.00.00.000,2021-10-31 00.00.00.000,54
NULL,Agrabah,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,8
NULL,Asgard,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,49
NULL,Gilead,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,9
NULL,Hogwarts,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,739
NULL,Narnia,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,21
NULL,Pandora,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,15
NULL,Wakanda,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,35
Delta,Agrabah,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,16
Delta,Asgard,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,146
Delta,Gilead,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,53
Delta,Hogwarts,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,12647
Delta,Narnia,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,109
Delta,Neverland,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,23
Delta,Pandora,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,49
Delta,Wakanda,2021-11-01 00.00.00.000,2021-11-07 00.00.00.000,93
NULL,Agrabah,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,6
NULL,Asgard,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,92
NULL,Gilead,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,29
NULL,Hogwarts,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,817
NULL,Narnia,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,26
NULL,Pandora,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,25
NULL,Wakanda,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,26
Delta,Agrabah,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,39
Delta,Asgard,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,239
Delta,Gilead,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,103
Delta,Hogwarts,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,14989
Delta,Narnia,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,116
Delta,Neverland,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,40
Delta,Pandora,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,61
Delta,Wakanda,2021-11-08 00.00.00.000,2021-11-14 00.00.00.000,65
NULL,Agrabah,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,5
NULL,Asgard,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,12
NULL,Gilead,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,30
NULL,Hogwarts,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,1003
NULL,Narnia,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,3
NULL,Pandora,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,38
NULL,Wakanda,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,17
Delta,Agrabah,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,68
Delta,Asgard,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,40
Delta,Gilead,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,107
Delta,Hogwarts,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,13144
Delta,Narnia,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,41
Delta,Neverland,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,21
Delta,Pandora,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,96
Delta,Wakanda,2021-11-15 00.00.00.000,2021-11-21 00.00.00.000,75
NULL,Agrabah,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,4
NULL,Asgard,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,67
NULL,Gilead,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,34
NULL,Hogwarts,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,1161
NULL,Middle-Earth,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,32
NULL,Narnia,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,19
NULL,Pandora,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,36
NULL,Wakanda,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,14
BA.1,Hogwarts,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,15
Delta,Agrabah,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,32
Delta,Asgard,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,174
Delta,Gilead,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,116
Delta,Hogwarts,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,14482
Delta,Middle-Earth,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,59
Delta,Narnia,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,116
Delta,Neverland,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,19
Delta,Pandora,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,96
Delta,Wakanda,2021-11-22 00.00.00.000,2021-11-28 00.00.00.000,55
NULL,Gilead,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,32
NULL,Hogwarts,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,1503
NULL,Middle-Earth,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,108
NULL,Narnia,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,35
NULL,Pandora,2021-11-29 00.00.00.000,2021-12-05 00.00.00.000,54
