Nextclade_pango,clade,lineage,UnaliasedPango,LineagesOfInterest,WhoVariant,amount_nextclade_pangos
AY.46,21J (Delta),AY.126,B.1.617.2.46,Delta,Delta,1
B.1.617.2,21J (Delta),BA.2,B.1.617.2,Delta,Delta,1
AY.43,21J (Delta),AY.43.9,B.1.617.2.43,Delta,Delta,1
B.1.177.21,20E (EU1),B.1.177.21,B.1.177.21,NULL,NULL,16161
BA.2.58,21L (Omicron),BA.2,B.1.1.529.2.58,BA.2,Omicron,32
XJ,recombinant,BA.2,XJ,NULL,NULL,5
BA.2.22,21L (Omicron),BA.2,B.1.1.529.2.22,BA.2,Omicron,326
A.21,19B,A.21,A.21,NULL,NULL,12
B.1.221,20A,B.1.221.3,B.1.221,NULL,NULL,1584
AY.61,21I (Delta),B.1.617.2,B.1.617.2.61,Delta,Delta,1
AY.43,21J (Delta),AY.4,B.1.617.2.43,Delta,Delta,2
BA.1.1.12,21K (Omicron),BA.1.1.12,B.1.1.529.1.1.12,BA.1,Omicron,2
AY.109,21J (Delta),B.1.617.2,B.1.617.2.109,Delta,Delta,3
AY.43.6,21J (Delta),AY.43.6,B.1.617.2.43.6,Delta,Delta,7719
BA.2.32,21L (Omicron),BA.2,B.1.1.529.2.32,BA.2,Omicron,3
R.1,20B,R.1,B.1.1.316.1,NULL,NULL,6
B.1.533,20B,B.1.1,B.1.533,NULL,NULL,1
AY.4,21J (Delta),AY.4.4,B.1.617.2.4,Delta,Delta,1
B.1.560,20A,B.1.1,B.1.560,NULL,NULL,1
AY.112,21J (Delta),AY.112,B.1.617.2.112,Delta,Delta,391
B.1.177.4,20E (EU1),B.1.177.4,B.1.177.4,NULL,NULL,10
B.1.236,20A,B.1.236,B.1.236,NULL,NULL,17
AY.129,21J (Delta),AY.129,B.1.617.2.129,Delta,Delta,3134
B.1.1.198,20B,B.1.1.198,B.1.1.198,NULL,NULL,3
B.1.1.525,20B,B.1.1.525,B.1.1.525,NULL,NULL,2
B.1.177,20E (EU1),B.1.177.27,B.1.177,NULL,NULL,168
AY.110,21J (Delta),AY.110,B.1.617.2.110,Delta,Delta,3
B.1.177.62,20E (EU1),B.1.177.62,B.1.177.62,NULL,NULL,1
B.1.177,20E (EU1),B.1.177.65,B.1.177,NULL,NULL,1
B.1.36.22,20A,B.1.36.22,B.1.36.22,NULL,NULL,7
AY.55,21I (Delta),AY.55,B.1.617.2.55,Delta,Delta,12
B.1.1.434,20B,B.1.1.434,B.1.1.434,NULL,NULL,2
BA.2.62,21L (Omicron),BA.2,B.1.1.529.2.62,BA.2,Omicron,3
B.1.429,21C (Epsilon),B.1.429,B.1.429,NULL,NULL,25
B.1,20A,B.1.221.3,B.1,NULL,NULL,7
B.1.617.2,21J (Delta),AY.46.6,B.1.617.2,Delta,Delta,13
BA.1.16.2,21K (Omicron),BA.1.16.2,B.1.1.529.1.16.2,BA.1,Omicron,2
B.1.617.2,21A (Delta),AY.14,B.1.617.2,Delta,Delta,1
B.1.91,20A,B.1,B.1.91,NULL,NULL,1
BA.2.51,21L (Omicron),BA.2.9,B.1.1.529.2.51,BA.2,Omicron,3
B.1.1,20B,B.1.1.229,B.1.1,NULL,NULL,1
B.1.177.81,20E (EU1),B.1.177.50,B.1.177.81,NULL,NULL,8
BA.2.1,21L (Omicron),BA.2,B.1.1.529.2.1,BA.2,Omicron,41
BA.1,21K (Omicron),BA.1.15,B.1.1.529.1,BA.1,Omicron,4
B.1.177.21,20E (EU1),B.1,B.1.177.21,NULL,NULL,10
AD.2,20B,AD.2,B.1.1.315.2,NULL,NULL,2
B.1.258,20A,B.1.258.9,B.1.258,NULL,NULL,240
A.2.5,19B,A.2.5,A.2.5,NULL,NULL,1
AY.127.1,21J (Delta),AY.127.1,B.1.617.2.127.1,Delta,Delta,5
AY.25.3,21J (Delta),AY.25.3,B.1.617.2.25.3,Delta,Delta,30
AY.57,21I (Delta),B.1.617.2,B.1.617.2.57,Delta,Delta,1
B.1.617.2,21A (Delta),AY.122,B.1.617.2,Delta,Delta,5
AY.43,21J (Delta),AY.43.6,B.1.617.2.43,Delta,Delta,76
B.1.617.2,21J (Delta),AY.4.7,B.1.617.2,Delta,Delta,4
B.1.1.372,20B,C.30.1,B.1.1.372,NULL,NULL,3
BA.2.9.2,21L (Omicron),BA.2.9.2,B.1.1.529.2.9.2,BA.2,Omicron,1
BA.2.22,21L (Omicron),BA.2.22,B.1.1.529.2.22,BA.2,Omicron,1
B.1.617.2,21J (Delta),AY.46,B.1.617.2,Delta,Delta,39
AY.87,21J (Delta),AY.87,B.1.617.2.87,Delta,Delta,5
AY.111,21J (Delta),AY.4,B.1.617.2.111,Delta,Delta,25
B.1.617.2,21J (Delta),AY.7.1,B.1.617.2,Delta,Delta,10
BA.1.1,21K (Omicron),BA.1.1.5,B.1.1.529.1.1,BA.1,Omicron,1
BA.1.14.2,21K (Omicron),BA.1.14.2,B.1.1.529.1.14.2,BA.1,Omicron,15
C.36.3,20D,C.36.3,B.1.1.1.36.3,NULL,NULL,27
B.1,20A,AY.122,B.1,NULL,NULL,4
C.2.1,20D,C.2,B.1.1.1.2.1,NULL,NULL,7
BA.1.1.6,21K (Omicron),BA.1.1.6,B.1.1.529.1.1.6,BA.1,Omicron,1
BD.1,21K (Omicron),BA.1.17.2,B.1.1.529.1.17.2.1,BA.1,Omicron,25
B.1,20A,B.1.127,B.1,NULL,NULL,895
B.1.177.21,20E (EU1),B.1.177.51,B.1.177.21,NULL,NULL,1
B.1.1,20B,B.1.1.315,B.1.1,NULL,NULL,1
BA.1.19,21K (Omicron),BA.1.1,B.1.1.529.1.19,BA.1,Omicron,1
B.1.575,20C,B.1.575,B.1.575,NULL,NULL,5
B.1.617.2,21J (Delta),AY.98,B.1.617.2,Delta,Delta,31
B.1.617,20A,AY.4.2,B.1.617,NULL,NULL,1
AY.4.1,21J (Delta),AY.4,B.1.617.2.4.1,Delta,Delta,1
B.1.1,20B,B.1.131,B.1.1,NULL,NULL,1
AY.70,21I (Delta),AY.70,B.1.617.2.70,Delta,Delta,460
AY.14,21A (Delta),AY.14,B.1.617.2.14,Delta,Delta,7
B.1.1,20B,B.1.1.346,B.1.1,NULL,NULL,36
B.1.1,20B,B.1.1.377,B.1.1,NULL,NULL,996
B.1.1.70,20B,AP.1,B.1.1.70,Alpha,Alpha,2
AY.65,21I (Delta),AY.65,B.1.617.2.65,Delta,Delta,64
B.1.617.2,21J (Delta),B.1.617.2,B.1.617.2,Delta,Delta,10896
B.1.389,20A,B.1,B.1.389,NULL,NULL,15
AY.127.1,21J (Delta),AY.127,B.1.617.2.127.1,Delta,Delta,1
B.1,20G,B.1.2,B.1,NULL,NULL,2
B.1.1.141,20B,B.1,B.1.1.141,NULL,NULL,2
XV,recombinant,BA.2,XV,NULL,NULL,5
B.1.160,20A,B.1.160.17,B.1.160,NULL,NULL,1044
B.1.1,20B,B.1.1.308,B.1.1,NULL,NULL,2
B.1.177,20E (EU1),B.1.177.33,B.1.177,NULL,NULL,3
BA.2.9,21L (Omicron),BA.2.9.5,B.1.1.529.2.9,BA.2,Omicron,946
B.1,20A,BA.1.17.2,B.1,NULL,NULL,1
BA.2.36,21L (Omicron),BA.2.9,B.1.1.529.2.36,BA.2,Omicron,1
BA.1.1.15,21K (Omicron),BA.1.1,B.1.1.529.1.1.15,BA.1,Omicron,1
B.1.258.11,20A,B.1.258.11,B.1.258.11,NULL,NULL,3350
B.1.160,20A,B.1.160,B.1.160,NULL,NULL,5010
BA.1.17.2,21K (Omicron),BA.1,B.1.1.529.1.17.2,BA.1,Omicron,8
BA.1,21K (Omicron),BA.1,B.1.1.529.1,BA.1,Omicron,29460
B.1,20A,B.1.258,B.1,NULL,NULL,12
B.1.1,20B,B.1.1.425,B.1.1,NULL,NULL,7
C.38,20D,C.38,B.1.1.1.38,NULL,NULL,1
B.1,20A,B.1.1.325,B.1,NULL,NULL,1
B.1.1.7,20I (Alpha; V1),Q.1,B.1.1.7,Alpha,Alpha,1
AY.4.2.3,21J (Delta),AY.4.2.3,B.1.617.2.4.2.3,Delta,Delta,447
B.1.617.2,21J (Delta),AY.80,B.1.617.2,Delta,Delta,9
BA.1.1,21K (Omicron),BA.1.1.2,B.1.1.529.1.1,BA.1,Omicron,3
AY.33,21J (Delta),AY.33,B.1.617.2.33,Delta,Delta,4846
B.1.398,20A,B.1.398,B.1.398,NULL,NULL,182
B.1,20A,B.1.177.12,B.1,NULL,NULL,7
AY.39,21J (Delta),AY.39,B.1.617.2.39,Delta,Delta,19
AY.68,21I (Delta),AY.68,B.1.617.2.68,Delta,Delta,349
B.1.617.2,21J (Delta),AY.39.1,B.1.617.2,Delta,Delta,1
XAB,recombinant,XG,XAB,NULL,NULL,2
BA.1.7,21K (Omicron),BA.1,B.1.1.529.1.7,BA.1,Omicron,5
Q.8,20I (Alpha; V1),Q.8,B.1.1.7.8,Alpha,Alpha,1
BA.1.16,21K (Omicron),BA.1,B.1.1.529.1.16,BA.1,Omicron,2
BA.2,21L (Omicron),BA.2.7,B.1.1.529.2,BA.2,Omicron,18
B.1,20A,B.1.258.11,B.1,NULL,NULL,8
B.1.1,20B,B.1.1.359,B.1.1,NULL,NULL,2
B.1,20A,B.1.164,B.1,NULL,NULL,1
B.1.1.44,20B,B.1.1,B.1.1.44,NULL,NULL,96
B.1.1,20B,B.1.1.429,B.1.1,NULL,NULL,3
AY.30,21A (Delta),AY.30,B.1.617.2.30,Delta,Delta,2
B.1.243,20A,B.1.243,B.1.243,NULL,NULL,2
B.1.617.2,21J (Delta),AY.4.2,B.1.617.2,Delta,Delta,9
B.1.232,20A,B.1,B.1.232,NULL,NULL,2
AY.4.2.5,21J (Delta),AY.4.2.5,B.1.617.2.4.2.5,Delta,Delta,1
BA.1,21K (Omicron),BA.1.7,B.1.1.529.1,BA.1,Omicron,9
BA.1.18,21K (Omicron),BA.1,B.1.1.529.1.18,BA.1,Omicron,3
B.1.177,20E (EU1),B.1.177.80,B.1.177,NULL,NULL,99
BA.1.20,21K (Omicron),BA.1.20,B.1.1.529.1.20,BA.1,Omicron,134
B.1.1,20B,B.1.1.219,B.1.1,NULL,NULL,151
B.1.468,20A,B.1,B.1.468,NULL,NULL,4
B.1.222,20A,B.1.258.16,B.1.222,NULL,NULL,1
B.1.1.298,20B,B.1,B.1.1.298,NULL,NULL,9
AZ.2,20B,AZ.2,B.1.1.318.2,NULL,NULL,5
BA.2.40,21L (Omicron),BA.2,B.1.1.529.2.40,BA.2,Omicron,1
AY.46,21J (Delta),AY.46.4,B.1.617.2.46,Delta,Delta,1
B.1.617.2,21J (Delta),AY.110,B.1.617.2,Delta,Delta,1
B.1.617.2,21J (Delta),AY.43.3,B.1.617.2,Delta,Delta,1
BA.2.71,21L (Omicron),BA.2.71,B.1.1.529.2.71,BA.2,Omicron,1
B.1.22,20A,B.1.22,B.1.22,NULL,NULL,3
Q.7,20I (Alpha; V1),B.1.1.7,B.1.1.7.7,Alpha,Alpha,1581
B.1,20A,B.1.221,B.1,NULL,NULL,14
B.1.617.2,21J (Delta),AY.42,B.1.617.2,Delta,Delta,40
B.1.177.82,20E (EU1),B.1.177.82,B.1.177.82,NULL,NULL,313
B.1.177,20E (EU1),B.1.177.43,B.1.177,NULL,NULL,1
BA.1.21,21K (Omicron),BA.1.21,B.1.1.529.1.21,BA.1,Omicron,401
B.1.1.25,20B,D.5,B.1.1.25,NULL,NULL,4
AY.120,21J (Delta),AY.120,B.1.617.2.120,Delta,Delta,152
B.1,20A,C.37,B.1,NULL,NULL,2
BA.2.51,21L (Omicron),BA.2,B.1.1.529.2.51,BA.2,Omicron,5
BA.1.12,21K (Omicron),BA.1.12,B.1.1.529.1.12,BA.1,Omicron,30
BA.1.1.4,21K (Omicron),BA.1.1.4,B.1.1.529.1.1.4,BA.1,Omicron,21
BA.2,21L (Omicron),BA.2.9,B.1.1.529.2,BA.2,Omicron,276
B.1.1.50,20B,B.1.1.50,B.1.1.50,NULL,NULL,10
B.1.1,20B,B.1.1.353,B.1.1,NULL,NULL,1
B.1.1.529,21M (Omicron),XM,B.1.1.529,Omicron,Omicron,1
AY.43.8,21J (Delta),AY.43.8,B.1.617.2.43.8,Delta,Delta,54
B.1.617.2,21J (Delta),AY.124,B.1.617.2,Delta,Delta,4
AY.113,21J (Delta),AY.113,B.1.617.2.113,Delta,Delta,12
B.1.1.117,20B,B.1.1.377,B.1.1.117,NULL,NULL,2
B.1.362,20C,B.1.362.2,B.1.362,NULL,NULL,14
AY.122.2,21J (Delta),AY.122.2,B.1.617.2.122.2,Delta,Delta,11
B.1.367,20C,B.1.367,B.1.367,NULL,NULL,45
B.1.617.2,21J (Delta),AY.116,B.1.617.2,Delta,Delta,39
AY.46.2,21J (Delta),AY.46.2,B.1.617.2.46.2,Delta,Delta,51
B.1.177,20E (EU1),B.1.1,B.1.177,NULL,NULL,3
B.1.617.2,21A (Delta),AY.121,B.1.617.2,Delta,Delta,1
AY.4.3,21J (Delta),AY.4,B.1.617.2.4.3,Delta,Delta,42
B.1.1.317,20B,B.1.1.317,B.1.1.317,NULL,NULL,24
B.1.468,20A,B.1.36,B.1.468,NULL,NULL,6
B.1.1.203,20B,B.1.1.428,B.1.1.203,NULL,NULL,5
A.2.5.1,19B,A.2.5,A.2.5.1,NULL,NULL,2
AY.36.1,21J (Delta),AY.36,B.1.617.2.36.1,Delta,Delta,1
B.1,20A,B.1.160,B.1,NULL,NULL,29
B.1,20A,B.1.36.33,B.1,NULL,NULL,5
B.1.177.53,20E (EU1),B.1.177.53,B.1.177.53,NULL,NULL,10
AY.4.6,21J (Delta),AY.4.6,B.1.617.2.4.6,Delta,Delta,14259
B.1.1.70,20B,B.1,B.1.1.70,Alpha,Alpha,1
B.1.617.2,21J (Delta),AY.4.2.2,B.1.617.2,Delta,Delta,1
BA.2,21L (Omicron),BA.2.81,B.1.1.529.2,BA.2,Omicron,1
B.1,20A,B.1.536,B.1,NULL,NULL,160
BA.1.17,21K (Omicron),BA.1.17,B.1.1.529.1.17,BA.1,Omicron,1164
AY.88,21J (Delta),AY.88,B.1.617.2.88,Delta,Delta,225
AY.16,21A (Delta),AY.16,B.1.617.2.16,Delta,Delta,206
AY.123.1,21J (Delta),AY.123.1,B.1.617.2.123.1,Delta,Delta,2
BA.1.17.2,21K (Omicron),BA.1.17.2,B.1.1.529.1.17.2,BA.1,Omicron,6078
B.1.1,20B,B.1.1.224,B.1.1,NULL,NULL,62
AY.46,21J (Delta),AY.46.6,B.1.617.2.46,Delta,Delta,14
XZ,recombinant,BA.2.9,XZ,NULL,NULL,14
B.1.1.432,20B,B.1.1.432,B.1.1.432,NULL,NULL,1
B.1.617.2,21I (Delta),AY.75,B.1.617.2,Delta,Delta,1
B.1,20A,B.1.1.100,B.1,NULL,NULL,3
B.1.222,20A,B.1.177.24,B.1.222,NULL,NULL,1
B.1.177.8,20E (EU1),B.1.177.8,B.1.177.8,NULL,NULL,9
BA.1.19,21K (Omicron),BA.1.19,B.1.1.529.1.19,BA.1,Omicron,1081
B.1.1,20B,B.1.1,B.1.1,NULL,NULL,626
B.1.36.22,20A,B.1.36,B.1.36.22,NULL,NULL,3
B.1.1.274,20B,B.1.1.298,B.1.1.274,NULL,NULL,1
B.1.258.3,20A,B.1.258.3,B.1.258.3,NULL,NULL,2
AY.33.2,21J (Delta),AY.33.2,B.1.617.2.33.2,Delta,Delta,19
B.1.1.298,20B,B.1.1.298,B.1.1.298,NULL,NULL,2541
AY.39,21J (Delta),AY.122,B.1.617.2.39,Delta,Delta,12
NULL,NULL,NULL,NULL,NULL,NULL,85643
B.1.1,20B,B.1.1.355,B.1.1,NULL,NULL,2
AY.46.5,21J (Delta),AY.46.5,B.1.617.2.46.5,Delta,Delta,22
BA.1.2,21K (Omicron),BA.1.2,B.1.1.529.1.2,BA.1,Omicron,1
B.1.1,20B,B.1.1.89,B.1.1,NULL,NULL,1
B.1.177,20E (EU1),B.1.177.24,B.1.177,NULL,NULL,972
BA.1,21K (Omicron),B.1.1.529,B.1.1.529.1,BA.1,Omicron,6
B.1,20A,AY.43,B.1,NULL,NULL,6
B.1.1.297,20B,B.1.1.297,B.1.1.297,NULL,NULL,1
B.1.177,20E (EU1),B.1.177.60,B.1.177,NULL,NULL,10
B.1.36,20A,B.1.36,B.1.36,NULL,NULL,308
AY.44,21J (Delta),AY.44,B.1.617.2.44,Delta,Delta,40
B.1.1,20B,B.1.1.524,B.1.1,NULL,NULL,1
B.1,20A,B.1.177.70,B.1,NULL,NULL,1
B.1,20A,B.1.562,B.1,NULL,NULL,1
B.1.1,20B,B.1.1.191,B.1.1,NULL,NULL,177
AY.91.1,21J (Delta),AY.91.1,B.1.617.2.91.1,Delta,Delta,145
AY.4,21J (Delta),AY.4.10,B.1.617.2.4,Delta,Delta,1
AY.125,21J (Delta),AY.125,B.1.617.2.125,Delta,Delta,1827
B.1.617,20A,B.1.617.2,B.1.617,NULL,NULL,4
AY.4.17,21J (Delta),AY.4.17,B.1.617.2.4.17,Delta,Delta,1
B.1.1.302,20B,B.1.1.302,B.1.1.302,NULL,NULL,173
BA.1.1.18,21K (Omicron),BA.1.1.18,B.1.1.529.1.1.18,BA.1,Omicron,27
BA.2.65,21L (Omicron),BA.2.10,B.1.1.529.2.65,BA.2,Omicron,1
B.1.258,20A,B.1.258.22,B.1.258,NULL,NULL,60
AY.123,21J (Delta),AY.123.1,B.1.617.2.123,Delta,Delta,52
B.1.617.2,21J (Delta),AY.127,B.1.617.2,Delta,Delta,31
B.1.177.35,20E (EU1),B.1.177.35,B.1.177.35,NULL,NULL,1168
B.1.617.2,21J (Delta),AY.43.6,B.1.617.2,Delta,Delta,12
B.1.1.1,20D,C.19,B.1.1.1,NULL,NULL,47
AY.98.1,21J (Delta),AY.98.1.1,B.1.617.2.98.1,Delta,Delta,1
B.1,20A,B.1.621,B.1,NULL,NULL,1
BA.1.9,21K (Omicron),BA.1.9,B.1.1.529.1.9,BA.1,Omicron,1
B.1,20A,AY.98,B.1,NULL,NULL,1
B.1,20A,B.1.1.189,B.1,NULL,NULL,1
AY.107,21J (Delta),AY.107,B.1.617.2.107,Delta,Delta,2
B.1.214,20A,B.1.214.4,B.1.214,NULL,NULL,141
B.1.617.2,21I (Delta),AY.9.2,B.1.617.2,Delta,Delta,2
AY.4,21J (Delta),AY.4,B.1.617.2.4,Delta,Delta,26956
BA.2.10,21L (Omicron),BA.2.10,B.1.1.529.2.10,BA.2,Omicron,72
B.1.258,20A,B.1.258.11,B.1.258,NULL,NULL,73
B.1.617.2,21A (Delta),AY.98,B.1.617.2,Delta,Delta,1
B.1,20A,AY.4.4,B.1,NULL,NULL,2
B.1,20A,B.1.473,B.1,NULL,NULL,2
B.1,20A,AY.111,B.1,NULL,NULL,1
AY.20,21J (Delta),AY.20,B.1.617.2.20,Delta,Delta,34
B.1.1,20B,B.1.1.428,B.1.1,NULL,NULL,10
AY.46.4,21J (Delta),AY.46.4,B.1.617.2.46.4,Delta,Delta,86
AY.64,21I (Delta),AY.64,B.1.617.2.64,Delta,Delta,3
B.1,20A,AY.4.2,B.1,NULL,NULL,1
B.1.1,20B,B.1.1.218,B.1.1,NULL,NULL,10
B.1.617.2,21J (Delta),AY.4.2.3,B.1.617.2,Delta,Delta,1
AY.66,21I (Delta),AY.66,B.1.617.2.66,Delta,Delta,3
B.1.1,20B,B.1.1.170,B.1.1,NULL,NULL,1
B.1.617.2,21J (Delta),AY.44,B.1.617.2,Delta,Delta,4
AY.43,21J (Delta),AY.98,B.1.617.2.43,Delta,Delta,1
B.1,20A,B.1.1.219,B.1,NULL,NULL,6
B.1.177.35,20E (EU1),B.1.177,B.1.177.35,NULL,NULL,1
AY.112,21J (Delta),AY.122,B.1.617.2.112,Delta,Delta,1
BA.1.1,21K (Omicron),BA.1.1.8,B.1.1.529.1.1,BA.1,Omicron,1
B.1.566,20C,B.1.428,B.1.566,NULL,NULL,2
AY.4.2,21J (Delta),AY.4.2.2,B.1.617.2.4.2,Delta,Delta,34
BA.2,21L (Omicron),BA.2.38,B.1.1.529.2,BA.2,Omicron,6
B.1,20A,B.1.177.76,B.1,NULL,NULL,1
B.1.1.170,20B,B.1.1.170,B.1.1.170,NULL,NULL,190
B.1.438,20A,B.1.438,B.1.438,NULL,NULL,8
B.1.617.2,21A (Delta),AY.68,B.1.617.2,Delta,Delta,1
B.1.438.1,20A,B.1.438,B.1.438.1,NULL,NULL,5
AY.61,21I (Delta),AY.61,B.1.617.2.61,Delta,Delta,42
AY.5.2,21J (Delta),AY.5.2,B.1.617.2.5.2,Delta,Delta,10
B.1.177.46,20E (EU1),B.1.177,B.1.177.46,NULL,NULL,645
AY.122.6,21J (Delta),AY.122,B.1.617.2.122.6,Delta,Delta,4829
XH,recombinant,XH,XH,NULL,NULL,93
B.1.637,20C,B.1.637,B.1.637,NULL,NULL,2
BA.1.9,21K (Omicron),BA.1.1,B.1.1.529.1.9,BA.1,Omicron,5
B.1.221,20A,B.1,B.1.221,NULL,NULL,38
AY.117,21J (Delta),AY.117,B.1.617.2.117,Delta,Delta,9
AY.122,21J (Delta),AY.122.3,B.1.617.2.122,Delta,Delta,2
B.1.466.2,20A,B.1.466.2,B.1.466.2,NULL,NULL,10
B.1.1,20B,B.1.617.2,B.1.1,NULL,NULL,1
BA.1.6,21K (Omicron),BA.1.6,B.1.1.529.1.6,BA.1,Omicron,25
B.1.1,20B,B.1.1.385,B.1.1,NULL,NULL,2
B.1,20A,B.1.1,B.1,NULL,NULL,384
B.1.617.2,21J (Delta),AY.39,B.1.617.2,Delta,Delta,6
BA.2.9,21L (Omicron),BA.2.9.2,B.1.1.529.2.9,BA.2,Omicron,11
XAR,recombinant,BA.2,XAR,NULL,NULL,1
B.1.222,20A,B.1.222,B.1.222,NULL,NULL,2
B.1.177,20E (EU1),B.1.177.21,B.1.177,NULL,NULL,331
B.1.221,20A,B.1.221,B.1.221,NULL,NULL,2482
B.1.258,20A,B.1.258,B.1.258,NULL,NULL,2285
B.1,20A,AY.6,B.1,NULL,NULL,1
B.1.619,20A,B.1.619,B.1.619,NULL,NULL,7
AY.94,21J (Delta),AY.94,B.1.617.2.94,Delta,Delta,114
BA.2.9,21L (Omicron),BA.2,B.1.1.529.2.9,BA.2,Omicron,98
B.1.1.529,21M (Omicron),BA.3.1,B.1.1.529,Omicron,Omicron,1
C.36.3.1,20D,C.36.3,B.1.1.1.36.3.1,NULL,NULL,2
B.1.617.2,21J (Delta),AY.4.14,B.1.617.2,Delta,Delta,3
B.1.1,20B,B.1.1.280,B.1.1,NULL,NULL,4
B.1.1.170,20B,B.1,B.1.1.170,NULL,NULL,1
BA.2.9,21L (Omicron),BA.2.36,B.1.1.529.2.9,BA.2,Omicron,8
B.1.466.1,20A,B.1.466.1,B.1.466.1,NULL,NULL,8
AY.4.2.1,21J (Delta),AY.4.2.1,B.1.617.2.4.2.1,Delta,Delta,97
BA.1.15,21K (Omicron),BA.1.15,B.1.1.529.1.15,BA.1,Omicron,984
AY.37,21I (Delta),AY.37,B.1.617.2.37,Delta,Delta,20
B.1.1.433,20B,B.1.1,B.1.1.433,NULL,NULL,2
XAD,recombinant,BA.2,XAD,NULL,NULL,1
B.1,20A,B.1.1.433,B.1,NULL,NULL,1
B.1,20C,B.1.343,B.1,NULL,NULL,10
B.1.480,20A,B.1.480,B.1.480,NULL,NULL,180
B.1,20A,B.1.523,B.1,NULL,NULL,96
BA.2,21L (Omicron),BA.2.34,B.1.1.529.2,BA.2,Omicron,54
B.1.1.448,20B,B.1.1.448,B.1.1.448,NULL,NULL,1
B.1.177.86,20E (EU1),B.1.177,B.1.177.86,NULL,NULL,3
AY.69,21I (Delta),AY.69,B.1.617.2.69,Delta,Delta,2
BA.1,21K (Omicron),BA.1.1,B.1.1.529.1,BA.1,Omicron,292
B.1.1.378,20B,B.1.1,B.1.1.378,NULL,NULL,2
