LineagesOfInterest,DateSampling,BatchSource,weights
NULL,2021-02-16,Middle-Earth,14
BA.1,2022-01-04,Hogwarts,240
Delta,2021-09-30,Asgard,16
NULL,2022-02-21,Asgard,14
Delta,2022-01-11,Hogwarts,28
Delta,2021-07-17,Asgard,7
Alpha,2021-02-23,Panem,371
Alpha,2021-04-19,Panem,632
Alpha,2021-06-10,Narnia,3
Alpha,2021-07-12,Hogwarts,104
Delta,2021-12-27,Pandora,8
Alpha,2021-03-14,Agrabah,4
NULL,2020-12-17,Hogwarts,298
NULL,2020-11-25,Pandora,3
NULL,2020-09-13,Panem,51
NULL,2021-04-26,Pandora,5
NULL,2022-02-04,Narnia,4
NULL,2021-01-30,Pandora,9
NULL,2021-07-16,Gilead,3
Alpha,2021-05-11,Pandora,13
Delta,2021-07-30,Gilead,5
Alpha,2021-03-05,Pandora,4
Delta,2021-07-17,Hogwarts,764
NULL,2021-04-28,Panem,183
NULL,2021-01-06,Hogwarts,203
BA.2,2022-03-01,Asgard,53
NULL,2021-09-13,Hogwarts,16
Alpha,2020-11-19,Panem,5
NULL,2021-01-14,Pandora,7
BA.2,2022-01-17,Gilead,48
BA.1,2021-12-30,Hogwarts,742
NULL,2021-04-18,Panem,307
Delta,2021-06-02,Hogwarts,5
NULL,2020-12-15,Gilead,57
NULL,2021-03-01,Hogwarts,39
BA.2,2022-01-23,Asgard,50
Delta,2021-09-04,Asgard,5
NULL,2022-02-06,Middle-Earth,26
NULL,2021-04-27,Agrabah,4
Delta,2021-08-04,Narnia,14
NULL,2021-01-27,Panem,468
Delta,2021-11-22,Agrabah,9
BA.1,2021-12-31,Narnia,17
Alpha,2021-04-15,Panem,615
NULL,2021-11-18,Pandora,10
NULL,2021-11-23,Asgard,24
Delta,2021-10-21,Asgard,22
BA.1,2022-01-14,Pandora,61
Delta,2021-12-12,Pandora,10
NULL,2021-01-03,Hogwarts,131
NULL,2022-02-07,Gilead,25
BA.1,2021-12-31,Asgard,11
BA.1,2022-01-23,Gilead,21
NULL,2020-10-31,Panem,275
NULL,2021-07-04,Hogwarts,121
Delta,2021-12-13,Narnia,15
Delta,2021-05-14,Panem,5
Alpha,2021-03-22,Agrabah,11
BA.2,2022-01-30,Pandora,124
BA.1,2022-01-24,Asgard,9
Delta,2021-12-17,Narnia,5
NULL,2021-12-25,Middle-Earth,40
BA.1,2022-02-07,Middle-Earth,12
Delta,2021-12-15,Middle-Earth,43
Alpha,2021-04-10,Wakanda,3
NULL,2021-05-19,Hogwarts,8
Delta,2021-10-24,Pandora,4
NULL,2021-09-29,Hogwarts,18
Alpha,2021-05-29,Hogwarts,312
NULL,2021-10-27,Hogwarts,139
BA.1,2022-01-21,Hogwarts,701
NULL,2021-07-23,Hogwarts,73
Delta,2021-10-07,Wakanda,3
NULL,2020-12-18,Panem,490
Delta,2021-12-23,Hogwarts,271
Alpha,2021-06-09,Hogwarts,477
BA.1,2021-12-06,Pandora,8
Delta,2021-12-26,Asgard,3
Delta,2021-08-04,Pandora,5
NULL,2021-10-12,Gilead,5
NULL,2021-02-11,Pandora,4
NULL,2020-12-27,Pandora,3
Omicron,2022-02-21,Hogwarts,3
BA.2,2022-02-12,Gilead,52
Delta,2021-12-21,Hogwarts,460
NULL,2020-11-09,Panem,474
Alpha,2021-05-12,Panem,830
Alpha,2021-05-01,Pandora,7
Delta,2021-11-19,Gilead,16
NULL,2021-01-11,Panem,1119
Alpha,2021-05-15,Hogwarts,461
Delta,2021-05-31,Hogwarts,6
NULL,2021-01-07,Hogwarts,300
Alpha,2020-12-20,Panem,15
Alpha,2021-04-27,Gilead,6
NULL,2022-03-01,Middle-Earth,10
Delta,2021-12-19,Hogwarts,611
Delta,2021-11-08,Gilead,10
BA.1,2021-12-25,Gilead,26
BA.1,2022-01-25,Agrabah,3
Delta,2021-11-30,Narnia,35
Alpha,2020-11-22,Panem,9
Delta,2021-08-02,Hogwarts,894
Alpha,2021-06-12,Hogwarts,259
NULL,2020-12-21,Middle-Earth,4
Delta,2021-11-09,Asgard,31
NULL,2021-01-15,Panem,710
BA.2,2021-12-20,Gilead,4
BA.2,2022-01-29,Gilead,23
NULL,2021-12-08,Hogwarts,220
Alpha,2021-06-11,Narnia,6
Gamma,2021-06-19,Hogwarts,7
NULL,2021-03-07,Hogwarts,158
NULL,2022-01-03,Asgard,12
Alpha,2021-04-20,Wakanda,5
NULL,2021-09-18,Hogwarts,13
BA.2,2022-01-24,Wakanda,7
Delta,2021-10-30,Gilead,5
NULL,2021-03-12,Pandora,5
Delta,2021-04-17,Panem,4
NULL,2021-11-25,Gilead,4
Alpha,2021-02-11,Narnia,5
BA.2,2022-01-15,Pandora,86
Alpha,2021-05-10,Agrabah,9
Delta,2021-08-27,Narnia,8
BA.2,2022-01-09,Gilead,30
NULL,2021-05-15,Panem,105
Alpha,2021-01-09,Panem,20
NULL,2020-12-09,Panem,600
NULL,2022-01-25,Pandora,34
NULL,2020-11-11,Hogwarts,206
Alpha,2021-01-21,Panem,92
Delta,2021-07-04,Narnia,3
NULL,2022-01-20,Pandora,46
Delta,2021-07-24,Asgard,4
Alpha,2021-06-16,Hogwarts,411
NULL,2022-02-28,Middle-Earth,19
Delta,2021-08-08,Asgard,8
Delta,2021-09-01,Wakanda,3
Delta,2021-10-30,Asgard,8
NULL,2021-04-24,Hogwarts,157
Delta,2021-08-31,Hogwarts,614
BA.2,2022-01-22,Middle-Earth,47
Alpha,2021-07-11,Hogwarts,70
NULL,2021-02-09,Panem,302
NULL,2020-11-21,Middle-Earth,14
BA.2,2022-02-18,Westeros,8
Delta,2021-12-07,Hogwarts,2013
Delta,2021-07-23,Hogwarts,717
Alpha,2021-04-28,Hogwarts,88
NULL,2021-10-30,Wakanda,3
Delta,2021-10-22,Agrabah,6
Delta,2021-10-13,Wakanda,7
Alpha,2021-02-16,Narnia,4
NULL,2021-12-26,Narnia,6
NULL,2021-03-06,Narnia,4
BA.1,2022-01-08,Gilead,19
Delta,2021-12-31,Narnia,3
Alpha,2021-06-07,Gilead,4
Delta,2021-10-28,Gilead,3
Alpha,2021-02-02,Middle-Earth,14
NULL,2021-03-21,Panem,128
NULL,2022-02-20,Narnia,7
NULL,2020-12-23,Narnia,23
Alpha,2021-05-03,Hogwarts,615
Delta,2021-11-30,Middle-Earth,60
NULL,2021-12-06,Narnia,5
BA.1,2021-12-25,Pandora,60
NULL,2020-12-11,Hogwarts,413
Alpha,2021-04-25,Hogwarts,263
Delta,2021-11-24,Gilead,15
Delta,2021-08-16,Agrabah,13
NULL,2021-05-16,Gilead,3
BA.2,2022-02-01,Wakanda,11
NULL,2022-02-02,Pandora,22
NULL,2021-01-25,Gilead,3
Delta,2021-07-26,Asgard,4
Delta,2021-12-29,Hogwarts,67
Alpha,2021-04-08,Agrabah,7
NULL,2021-08-06,Asgard,3
Delta,2021-10-29,Wakanda,8
NULL,2021-04-20,Hogwarts,93
Alpha,2021-07-16,Hogwarts,48
NULL,2021-12-02,Gilead,8
Delta,2022-01-14,Hogwarts,15
Delta,2021-07-22,Asgard,4
BA.2,2022-02-20,Hogwarts,1231
NULL,2022-01-30,Asgard,16
BA.2,2022-02-16,Hogwarts,1392
Delta,2021-11-12,Hogwarts,1421
Delta,2021-10-01,Hogwarts,406
Delta,2021-11-05,Asgard,22
Delta,2021-12-30,Pandora,6
BA.2,2022-02-17,Hogwarts,1776
Delta,2021-12-14,Wakanda,16
NULL,2021-04-18,Hogwarts,38
BA.2,2022-02-27,Middle-Earth,35
Delta,2021-07-15,Asgard,19
BA.1,2022-01-22,Asgard,8
BA.2,2021-12-13,Hogwarts,14
BA.2,2022-02-23,Middle-Earth,101
Alpha,2021-05-31,Agrabah,6
Delta,2021-11-15,Narnia,27
BA.1,2022-01-11,Wakanda,5
Delta,2022-01-08,Hogwarts,20
Delta,2021-10-18,Narnia,18
NULL,2021-01-10,Panem,753
Delta,2021-12-17,Middle-Earth,40
Delta,2021-01-02,Hogwarts,4
NULL,2022-02-15,Hogwarts,148
NULL,2021-01-14,Panem,841
NULL,2021-05-25,Panem,49
BA.2,2022-01-05,Middle-Earth,16
NULL,2021-01-04,Middle-Earth,8
NULL,2021-06-23,Hogwarts,77
NULL,2021-10-13,Gilead,6
NULL,2021-05-20,Panem,273
NULL,2020-11-23,Panem,411
BA.2,2021-12-26,Middle-Earth,27
Delta,2021-09-16,Hogwarts,418
Alpha,2021-04-21,Agrabah,17
Alpha,2021-06-14,Wakanda,4
NULL,2020-12-30,Pandora,5
NULL,2021-11-15,Gilead,6
Delta,2021-06-08,Hogwarts,11
Alpha,2021-05-05,Gilead,6
Alpha,2021-05-13,Narnia,9
BA.1,2022-02-25,Narnia,3
Alpha,2021-05-09,Pandora,5
BA.1,2022-02-13,Middle-Earth,3
NULL,2022-01-03,Wakanda,4
Alpha,2021-05-18,Pandora,7
Delta,2021-11-05,Wakanda,22
Eta,2021-04-19,Panem,4
Delta,2021-07-26,Hogwarts,1387
NULL,2022-02-08,Narnia,17
Alpha,2021-03-28,Agrabah,5
NULL,2020-11-27,Panem,593
Alpha,2021-05-26,Panem,961
Alpha,2020-11-27,Panem,17
Alpha,2021-02-03,Middle-Earth,10
NULL,2021-08-16,Hogwarts,71
Delta,2021-08-06,Asgard,12
NULL,2021-09-25,Hogwarts,87
Alpha,2021-05-27,Gilead,7
Alpha,2021-05-20,Narnia,6
Alpha,2021-03-12,Gilead,8
Delta,2021-12-10,Middle-Earth,48
Alpha,2021-03-23,Hogwarts,14
NULL,2021-03-01,Panem,257
NULL,2021-08-05,Gilead,8
Delta,2021-04-02,Panem,3
Delta,2021-12-18,Narnia,9
Alpha,2021-01-29,Panem,74
NULL,2021-11-02,Hogwarts,111
NULL,2021-12-17,Middle-Earth,58
BA.1,2022-01-03,Pandora,115
BA.2,2022-02-16,Narnia,67
Alpha,2021-05-16,Panem,339
Delta,2021-08-25,Wakanda,7
Alpha,2021-03-03,Narnia,3
NULL,2021-11-24,Asgard,14
NULL,2022-02-11,Asgard,3
NULL,2021-04-20,Narnia,5
NULL,2021-01-08,Gilead,5
Alpha,2021-04-14,Wakanda,4
Alpha,2020-11-18,Hogwarts,6
NULL,2021-12-14,Pandora,57
BA.1,2022-01-06,Narnia,34
Delta,2021-10-26,Neverland,5
Alpha,2021-07-10,Hogwarts,66
Alpha,2021-04-26,Pandora,5
NULL,2021-12-22,Pandora,29
NULL,2020-11-04,Gilead,3
Alpha,2020-12-10,Panem,4
BA.2,2022-02-10,Hogwarts,1331
BA.2,2022-02-24,Narnia,32
BA.1,2022-01-05,Middle-Earth,29
BA.1,2021-12-29,Asgard,8
NULL,2021-02-10,Pandora,9
Alpha,2021-04-06,Panem,363
NULL,2021-11-22,Hogwarts,152
Alpha,2021-05-15,Narnia,11
NULL,2022-01-12,Agrabah,4
Delta,2021-07-20,Asgard,6
NULL,2021-11-27,Hogwarts,216
NULL,2021-01-12,Hogwarts,218
Alpha,2021-03-11,Pandora,10
NULL,2021-11-08,Asgard,8
BA.1,2022-01-30,Narnia,8
Delta,2021-05-04,Panem,4
Alpha,2021-05-19,Wakanda,4
NULL,2021-02-06,Hogwarts,3
BA.2,2022-01-14,Middle-Earth,3
BA.1,2021-12-25,Wakanda,3
BA.2,2022-02-21,Asgard,65
BA.2,2022-02-09,Narnia,43
Delta,2021-10-04,Asgard,21
BA.2,2021-12-21,Hogwarts,75
BA.1,2021-12-22,Hogwarts,618
Delta,2021-11-25,Neverland,14
NULL,2022-02-17,Middle-Earth,25
NULL,2022-02-10,Asgard,11
Delta,2021-04-30,Panem,5
Delta,2021-08-18,Agrabah,4
NULL,2020-09-18,Panem,112
Delta,2021-09-17,Asgard,9
NULL,2021-03-28,Hogwarts,10
BA.2,2022-02-07,Pandora,182
Alpha,2021-02-26,Hogwarts,190
NULL,2021-12-18,Middle-Earth,15
Delta,2021-12-04,Narnia,8
BA.2,2022-01-19,Gilead,17
Delta,2021-11-07,Hogwarts,2162
Delta,2021-11-10,Hogwarts,2924
Delta,2021-08-09,Narnia,19
NULL,2022-03-01,Hogwarts,108
Omicron,2022-02-12,Hogwarts,6
NULL,2021-04-23,Panem,86
BA.2,2022-02-18,Narnia,34
Alpha,2021-03-25,Gilead,11
Alpha,2021-01-01,Hogwarts,4
NULL,2022-01-08,Narnia,4
Alpha,2021-05-27,Wakanda,3
NULL,2021-06-28,Gilead,4
NULL,2021-08-19,Hogwarts,99
Delta,2021-08-05,Asgard,14
Delta,2021-10-02,Hogwarts,344
Alpha,2021-04-26,Gilead,6
Alpha,2021-06-15,Asgard,4
Alpha,2021-03-21,Hogwarts,7
Delta,2021-11-21,Pandora,14
NULL,2021-12-01,Narnia,5
NULL,2022-01-09,Asgard,12
Alpha,2021-02-03,Panem,94
NULL,2021-02-07,Panem,229
NULL,2021-10-03,Asgard,4
BA.2,2022-02-04,Hogwarts,2000
Alpha,2021-03-16,Panem,564
NULL,2021-07-05,Hogwarts,67
NULL,2021-10-30,Asgard,6
Alpha,2021-07-25,Hogwarts,15
Delta,2021-10-11,Narnia,7
BA.1,2022-02-09,Gilead,4
Delta,2021-09-06,Gilead,3
BA.1,2022-01-19,Agrabah,6
Delta,2022-01-06,Pandora,4
Alpha,2021-05-18,Narnia,18
NULL,2020-12-24,Hogwarts,204
Alpha,2021-06-26,Hogwarts,94
NULL,2020-10-30,Hogwarts,60
Alpha,2021-04-05,Gilead,5
Alpha,2021-03-13,Panem,401
NULL,2021-03-16,Hogwarts,35
BA.2,2022-01-01,Narnia,5
NULL,2022-01-29,Narnia,16
BA.1,2021-12-20,Hogwarts,962
NULL,2022-01-28,Hogwarts,312
BA.1,2021-12-06,Narnia,3
Delta,2021-08-13,Narnia,14
BA.2,2022-03-01,Middle-Earth,96
Delta,2021-09-13,Hogwarts,408
NULL,2021-08-12,Hogwarts,52
BA.2,2022-01-10,Hogwarts,705
NULL,2020-12-02,Panem,138
Alpha,2021-04-04,Hogwarts,56
NULL,2021-08-19,Pandora,4
BA.1,2021-12-02,Hogwarts,45
Alpha,2021-02-09,Panem,177
BA.1,2021-12-17,Pandora,59
NULL,2021-07-09,Hogwarts,86
BA.2,2022-02-27,Pandora,17
BA.2,2022-01-26,Agrabah,3
NULL,2021-03-22,Hogwarts,6
Delta,2021-11-20,Asgard,14
Delta,2021-09-11,Asgard,9
Alpha,2021-05-08,Gilead,4
Alpha,2021-03-30,Gilead,5
NULL,2021-01-23,Narnia,11
NULL,2022-01-02,Pandora,16
BA.1,2022-02-28,Pandora,4
BA.1,2022-02-13,Narnia,3
NULL,2020-10-02,Panem,31
BA.1,2022-01-07,Hogwarts,1775
Alpha,2021-03-26,Panem,714
NULL,2021-12-02,Hogwarts,204
NULL,2021-02-07,Pandora,10
Delta,2021-09-08,Narnia,16
Delta,2021-11-02,Narnia,22
Delta,2021-09-24,Narnia,3
NULL,2020-10-30,Middle-Earth,16
Alpha,2021-05-13,Hogwarts,104
BA.1,2022-02-08,Hogwarts,143
BA.1,2022-01-25,Pandora,34
NULL,2021-06-02,Hogwarts,35
NULL,2021-02-13,Gilead,5
Alpha,2021-05-10,Hogwarts,57
Delta,2021-10-03,Narnia,4
NULL,2022-02-09,Gilead,17
BA.1,2022-01-01,Pandora,36
Delta,2021-12-26,Wakanda,4
NULL,2021-04-09,Panem,125
BA.2,2022-01-10,Middle-Earth,96
Alpha,2021-02-18,Hogwarts,3
BA.2,2021-12-31,Pandora,17
Delta,2021-10-01,Agrabah,5
Delta,2022-01-04,Pandora,4
NULL,2021-09-22,Asgard,3
BA.2,2021-12-28,Gilead,7
Alpha,2021-04-20,Pandora,4
Delta,2021-08-23,Pandora,5
Alpha,2021-05-07,Wakanda,3
NULL,2020-11-22,Panem,537
BA.2,2022-02-05,Pandora,70
Alpha,2021-03-03,Agrabah,7
BA.1,2022-01-05,Asgard,16
NULL,2022-02-20,Pandora,11
BA.1,2022-01-11,Agrabah,16
BA.1,2022-01-26,Gilead,4
Delta,2021-08-08,Hogwarts,1042
NULL,2021-03-05,Pandora,7
NULL,2021-02-09,Pandora,6
NULL,2021-10-12,Hogwarts,182
Eta,2021-04-09,Panem,6
BA.1,2022-02-26,Hogwarts,65
BA.1,2022-01-22,Pandora,27
NULL,2021-02-13,Narnia,5
BA.1,2022-02-28,Hogwarts,36
NULL,2021-10-22,Hogwarts,146
BA.2,2022-02-19,Neverland,9
NULL,2021-09-20,Asgard,5
Delta,2021-08-20,Gilead,6
NULL,2022-01-14,Hogwarts,193
Delta,2021-12-04,Middle-Earth,26
Delta,2021-12-23,Pandora,15
Alpha,2021-01-20,Panem,93
Delta,2021-09-07,Narnia,11
Delta,2021-10-19,Asgard,13
BA.2,2022-01-25,Pandora,178
NULL,2021-09-28,Hogwarts,20
Alpha,2021-05-25,Hogwarts,897
BA.1,2022-01-21,Asgard,9
BA.2,2022-02-13,Gilead,53
Alpha,2021-01-31,Pandora,6
Alpha,2021-02-05,Middle-Earth,10
NULL,2020-12-02,Hogwarts,308
NULL,2021-01-29,Panem,346
NULL,2022-02-24,Pandora,25
NULL,2021-05-07,Panem,170
NULL,2021-04-24,Wakanda,4
Alpha,2020-12-04,Panem,4
NULL,2021-11-22,Gilead,6
Delta,2022-01-02,Pandora,3
Delta,2021-05-15,Panem,6
NULL,2021-04-30,Gilead,3
Alpha,2021-05-02,Narnia,7
NULL,2021-11-02,Wakanda,7
NULL,2022-02-16,Pandora,17
NULL,2020-12-31,Narnia,77
Delta,2021-07-07,Narnia,6
BA.1,2022-01-27,Narnia,16
BA.1,2021-12-31,Hogwarts,328
NULL,2021-08-03,Hogwarts,86
BA.2,2022-02-22,Asgard,41
Delta,2021-12-29,Narnia,9
Alpha,2021-03-19,Agrabah,7
NULL,2021-12-19,Narnia,8
NULL,2022-01-21,Pandora,32
BA.1,2022-01-16,Hogwarts,611
NULL,2021-02-08,Pandora,4
Delta,2021-10-14,Pandora,8
Alpha,2021-03-30,Narnia,9
Alpha,2021-03-20,Panem,459
NULL,2020-09-04,Panem,145
Alpha,2021-02-18,Panem,254
NULL,2021-07-06,Hogwarts,124
NULL,2021-01-09,Gilead,7
BA.2,2022-02-23,Gilead,23
Eta,2021-02-08,Panem,4
BA.2,2022-01-24,Narnia,43
Alpha,2021-01-27,Panem,90
BA.1,2021-12-22,Gilead,7
NULL,2021-05-29,Hogwarts,29
BA.2,2022-01-01,Gilead,5
Delta,2021-08-13,Gilead,7
Omicron,2022-02-08,Hogwarts,7
NULL,2021-01-18,Gilead,8
NULL,2021-06-12,Asgard,4
Alpha,2021-06-21,Pandora,3
Gamma,2021-04-25,Panem,3
Alpha,2021-05-08,Agrabah,3
Delta,2021-10-03,Agrabah,4
BA.2,2022-02-13,Asgard,3
Omicron,2022-01-31,Pandora,5
NULL,2022-02-26,Pandora,3
NULL,2022-01-29,Asgard,16
NULL,2022-02-12,Pandora,16
Delta,2021-12-27,Gilead,14
Gamma,2021-05-23,Panem,3
NULL,2021-03-01,Pandora,10
BA.2,2022-01-12,Hogwarts,989
Delta,2021-07-04,Hogwarts,299
BA.2,2022-01-17,Hogwarts,1557
BA.2,2022-01-24,Hogwarts,1934
NULL,2020-11-13,Hogwarts,184
BA.2,2022-02-15,Gilead,40
Delta,2021-07-31,Hogwarts,764
NULL,2021-04-03,Panem,119
BA.2,2022-01-26,Hogwarts,1402
Alpha,2021-04-27,Panem,685
NULL,2021-05-02,Pandora,3
NULL,2020-12-22,Narnia,23
Delta,2021-10-07,Narnia,3
NULL,2020-11-27,Middle-Earth,12
BA.1,2022-01-21,Narnia,11
Delta,2021-10-16,Hogwarts,618
BA.2,2022-03-01,Pandora,61
BA.1,2021-12-09,Pandora,16
NULL,2021-03-18,Hogwarts,7
BA.1,2021-12-16,Hogwarts,547
NULL,2021-05-20,Hogwarts,20
NULL,2021-10-29,Asgard,13
BA.1,2022-01-15,Asgard,9
BA.1,2021-12-10,Hogwarts,212
NULL,2020-11-28,Hogwarts,104
Alpha,2021-07-21,Hogwarts,29
NULL,2022-01-29,Pandora,14
Delta,2021-12-01,Wakanda,13
BA.2,2021-12-19,Pandora,3
Alpha,2021-03-09,Panem,512
Omicron,2022-01-31,Hogwarts,22
NULL,2021-10-25,Asgard,4
BA.2,2022-01-20,Wakanda,11
NULL,2022-02-02,Gilead,3
NULL,2021-03-22,Agrabah,8
Alpha,2021-06-15,Narnia,6
NULL,2021-01-12,Gilead,5
Alpha,2021-08-11,Hogwarts,5
Beta,2021-06-30,Hogwarts,3
NULL,2021-01-23,Agrabah,6
Delta,2021-08-17,Narnia,11
Delta,2022-01-09,Pandora,3
Alpha,2021-01-23,Middle-Earth,3
NULL,2022-01-13,Gilead,3
Eta,2021-03-05,Hogwarts,4
Delta,2021-12-12,Gilead,4
NULL,2021-01-31,Middle-Earth,46
NULL,2020-10-23,Panem,33
BA.1,2022-02-14,Middle-Earth,6
Alpha,2021-01-05,Panem,40
NULL,2022-02-07,Narnia,16
BA.2,2022-02-26,Narnia,32
NULL,2020-12-27,Narnia,10
Alpha,2021-05-25,Gilead,4
Delta,2021-05-28,Panem,5
Delta,2021-11-25,Middle-Earth,15
NULL,2021-08-24,Hogwarts,82
Eta,2021-03-28,Panem,13
BA.1,2022-02-01,Wakanda,6
Alpha,2021-03-15,Gilead,7
BA.1,2022-01-19,Hogwarts,734
Alpha,2021-05-09,Agrabah,8
NULL,2021-02-18,Panem,277
NULL,2022-01-19,Middle-Earth,26
BA.1,2021-12-07,Middle-Earth,32
NULL,2021-08-27,Hogwarts,88
BA.2,2022-01-20,Gilead,19
Alpha,2021-07-14,Hogwarts,81
NULL,2022-01-07,Pandora,19
NULL,2021-01-18,Hogwarts,154
BA.1,2022-01-11,Gilead,41
Delta,2021-11-05,Narnia,17
NULL,2021-09-18,Narnia,3
Delta,2021-11-15,Hogwarts,2337
NULL,2021-04-21,Panem,142
Alpha,2021-03-03,Panem,377
NULL,2020-09-24,Hogwarts,8
Delta,2021-11-20,Hogwarts,1728
BA.2,2022-02-28,Narnia,48
Delta,2021-07-26,Narnia,12
Delta,2021-09-18,Hogwarts,322
NULL,2020-12-27,Hogwarts,255
NULL,2022-01-15,Pandora,13
BA.1,2022-01-15,Wakanda,4
Alpha,2020-11-23,Panem,4
Delta,2021-08-19,Narnia,10
Gamma,2021-03-22,Panem,4
NULL,2021-08-23,Wakanda,4
NULL,2021-03-31,Pandora,7
NULL,2021-10-27,Pandora,3
NULL,2021-01-30,Gilead,3
Alpha,2021-03-10,Pandora,6
Delta,2021-05-23,Panem,3
BA.1,2021-12-10,Asgard,3
Delta,2021-06-22,Hogwarts,31
Delta,2021-12-14,Gilead,15
Alpha,2021-05-07,Hogwarts,133
Delta,2022-01-24,Hogwarts,3
NULL,2021-05-07,Gilead,3
BA.1,2022-02-09,Narnia,4
BA.1,2022-02-08,Pandora,24
Alpha,2021-05-10,Wakanda,6
NULL,2022-01-30,Hogwarts,154
NULL,2021-05-21,Hogwarts,60
NULL,2022-01-04,Middle-Earth,66
BA.2,2022-01-17,Middle-Earth,112
Delta,2021-05-12,Panem,5
Alpha,2021-03-09,Pandora,9
Alpha,2021-04-17,Hogwarts,246
Delta,2021-12-05,Narnia,3
Delta,2021-08-21,Hogwarts,772
Alpha,2021-01-26,Middle-Earth,14
Delta,2021-07-16,Asgard,5
NULL,2020-12-04,Panem,681
NULL,2021-01-26,Narnia,24
NULL,2021-09-19,Hogwarts,12
NULL,2022-02-07,Middle-Earth,52
BA.1,2022-01-16,Pandora,60
Alpha,2021-05-06,Pandora,5
Delta,2021-08-11,Wakanda,7
NULL,2021-12-31,Narnia,5
Alpha,2020-12-26,Hogwarts,8
Omicron,2022-02-17,Hogwarts,4
Delta,2021-10-22,Wakanda,6
NULL,2021-10-09,Asgard,4
Alpha,2021-05-20,Gilead,4
Alpha,2021-05-27,Narnia,7
NULL,2021-03-12,Agrabah,4
NULL,2021-12-01,Gilead,3
NULL,2020-12-21,Panem,403
Omicron,2022-01-27,Hogwarts,6
Alpha,2021-01-18,Gilead,8
Alpha,2021-02-26,Panem,339
BA.2,2021-12-31,Hogwarts,84
BA.2,2022-02-03,Wakanda,20
NULL,2022-01-03,Narnia,9
NULL,2021-01-20,Hogwarts,43
BA.1,2022-01-30,Hogwarts,330
NULL,2021-12-18,Hogwarts,267
Delta,2021-07-28,Hogwarts,948
BA.2,2022-02-03,Pandora,124
Delta,2021-11-10,Agrabah,10
NULL,2021-02-07,Hogwarts,4
Eta,2021-03-22,Panem,22
BA.2,2022-01-08,Narnia,6
Eta,2021-02-03,Panem,5
Delta,2021-08-23,Hogwarts,1004
Delta,2021-11-03,Narnia,24
Delta,2021-06-09,Hogwarts,11
Delta,2021-12-25,Pandora,13
Alpha,2021-08-13,Hogwarts,3
NULL,2022-01-25,Narnia,10
Delta,2021-09-22,Hogwarts,342
NULL,2021-02-22,Panem,409
BA.2,2022-02-12,Narnia,40
Alpha,2021-05-19,Narnia,13
BA.2,2022-01-08,Asgard,11
BA.2,2022-01-18,Middle-Earth,94
Eta,2021-02-26,Panem,7
Alpha,2021-02-02,Panem,113
NULL,2021-04-25,Hogwarts,42
Delta,2021-08-03,Asgard,23
BA.2,2022-01-29,Narnia,45
Alpha,2020-12-03,Hogwarts,3
BA.1,2022-01-12,Agrabah,16
BA.1,2022-02-24,Pandora,4
NULL,2021-03-13,Panem,102
NULL,2020-11-30,Hogwarts,241
Delta,2021-11-08,Narnia,16
Alpha,2021-01-29,Agrabah,3
Delta,2021-11-19,Agrabah,12
Delta,2021-12-31,Asgard,6
NULL,2021-01-24,Narnia,18
Eta,2021-02-27,Panem,6
Delta,2021-11-01,Gilead,9
Gamma,2021-07-13,Hogwarts,3
NULL,2021-08-13,Gilead,4
Alpha,2021-04-09,Agrabah,10
BA.1,2022-02-23,Asgard,3
NULL,2021-07-20,Gilead,4
Alpha,2021-04-23,Gilead,3
NULL,2021-04-07,Narnia,3
Alpha,2021-04-21,Panem,487
Eta,2021-02-14,Panem,9
NULL,2021-08-06,Hogwarts,118
Delta,2022-01-03,Middle-Earth,11
BA.2,2022-02-18,Middle-Earth,30
BA.1,2022-02-18,Pandora,9
NULL,2021-01-08,Narnia,48
NULL,2021-07-28,Hogwarts,102
BA.2,2022-02-01,Narnia,31
Delta,2021-10-13,Neverland,22
Omicron,2022-02-07,Hogwarts,9
Delta,2022-01-06,Asgard,4
BA.1,2022-02-16,Narnia,5
Delta,2021-11-06,Narnia,6
NULL,2021-12-26,Pandora,14
Delta,2021-08-23,Asgard,15
Alpha,2021-02-17,Panem,223
NULL,2021-02-02,Hogwarts,27
BA.2,2022-01-30,Middle-Earth,120
NULL,2021-01-22,Middle-Earth,33
BA.1,2022-01-02,Narnia,27
Alpha,2021-02-17,Agrabah,5
Alpha,2021-05-23,Panem,492
Delta,2021-10-19,Narnia,13
BA.1,2022-01-03,Asgard,24
Delta,2021-11-11,Wakanda,13
BA.1,2021-12-24,Hogwarts,274
Alpha,2021-02-28,Gilead,6
NULL,2022-02-11,Middle-Earth,16
Omicron,2022-01-12,Hogwarts,10
BA.2,2022-02-10,Asgard,54
BA.2,2022-02-07,Agrabah,24
NULL,2022-01-27,Asgard,24
BA.1,2022-02-20,Middle-Earth,3
NULL,2021-12-13,Narnia,17
Delta,2021-12-17,Pandora,23
BA.1,2022-02-02,Pandora,15
NULL,2021-01-10,Narnia,34
NULL,2021-06-08,Gilead,5
Alpha,2021-06-08,Hogwarts,608
Delta,2021-10-14,Hogwarts,740
NULL,2021-12-15,Wakanda,11
Delta,2021-12-13,Wakanda,21
BA.1,2022-01-23,Hogwarts,491
Delta,2021-09-30,Narnia,6
Eta,2021-02-01,Panem,8
Delta,2021-07-17,Narnia,3
BA.2,2022-02-05,Gilead,24
Alpha,2021-05-29,Asgard,9
